id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
shine#lord,Diamond 2,76.2,1.7,216.4,PL,26.4,317,70.2,842,3.3,40,34,22.4,22,729,1.1,Jett,11,21,71.4,1.7,214.8
亞 Sir Pach 个#COL,Ascendant 2,46.7,1.17,127.2,CO,21.4,217,72.5,736,6.1,62,752,17.2,393,"10,862",0.7,Sova,112,186,51.1,1.07,130
Akwas#VRGN,Ascendant 1,61.8,1.11,151.3,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUSBAN#5930,Unranked,100,1,119.7,None,19.5,180,73.3,677,7.3,67,49,20.6,26,702,0.7,Omen,26,44,56.8,0.95,131.4
fLiCkZ#0210,Gold 1,59.2,1.41,182.1,IN,15.8,251,78.2,1241,5.9,94,944,16.9,461,"13,926",0.7,Reyna,186,325,47.1,1.13,156.7
I hate gacha#what,Iron 3,45.5,1.2,166.3,RU,11.8,161,73.2,1001,15.1,206,98,10.5,42,"1,307",0.7,Brimstone,8.2,17,47.1,0.73,116.1
Dragster#6746,Unranked,42.9,0.86,115.5,IN,7.7,82,77,822,15.4,164,66,9.9,29,688,0.5,Jett,18,31,48.4,0.71,116.3
KiraDestiny#Fate6,Gold 1,65.3,1.07,143.4,PH,14.6,128,76.1,668,9.3,82,237,15.3,128,"2,949",0.6,Reyna,26,48,54.2,1.02,144.5
WebBeMe#0000,Immortal 3,52.3,1.08,151.9,SE,20.3,241,73.3,872,6.4,76,"2,365",19.3,"1,177","39,017",0.8,Sova,408,686,51.3,1.07,149.9
i7yyy#911,Gold 3,52.6,1.1,135.4,DE,17.4,188,70.6,761,12,129,408,16.5,198,"5,972",0.7,Sage,100,164,56.7,1.07,127.9
nick517e#EUNE,Bronze 2,40,1.23,162.4,DK,17.5,217,73,904,9.5,117,29,17.8,12,453,0.8,KAY/O,5.6,9,44.4,1.24,183.6
Y0v3sh#MXRP,Gold 1,48.1,1.4,178.5,AU,20.4,256,72.3,909,7.3,92,181,18.5,82,"3,278",0.9,Sage,28,53,45.3,1.15,142.5
SPENTS KruzingJ#2EZ,Ascendant 1,40.7,1.07,149,NO,18.7,222,72.3,859,9,107,"2,971",20,"1,467","47,226",0.8,Reyna,617,"1,069",49.3,1.12,148.1
weepy#zzzzz,Platinum 3,100,2.2,231.7,None,20.8,297,71.4,1020,7.8,111,23,20,18,459,1,Sage,5.6,10,60,1.22,155
phx#fax,Immortal 3,64.7,1.11,156.6,DE,37.7,310,59.1,486,3.2,26,643,19.6,365,"10,353",0.8,Jett,78,141,58.9,1.21,164.5
GurkenNascher#420,Ascendant 1,55.1,1.13,152.4,DE,22.9,222,70.3,681,6.8,66,850,20.1,424,"14,589",0.8,Reyna,168,288,49.7,1.18,164.8
Fragger#123,Platinum 2,49.5,1.12,158.5,KR,23.9,210,68.2,598,7.9,69,265,19.7,136,"4,260",0.8,Chamber,75,131,50.4,1.11,152
NotYourOxy69#786,Silver 1,57.9,1.06,144.7,IN,11.7,189,76.1,1224,12.2,196,127,11.6,59,"1,910",0.7,Reyna,31,51,49,1.07,148.9
joya#じょや,Silver 3,53.6,1.07,139.9,BR,14,156,72,802,14,156,156,13.2,83,"2,476",0.8,Chamber,17,28,42.9,1.34,176.2
Tracer Main#2000,Immortal 1,62.5,1.11,143,GB,27.4,252,68.9,633,3.7,34,970,25.3,503,"15,282",0.8,Viper,83,147,54.4,1.18,145.5
Ded#broke,Gold 3,45.5,0.97,134.2,IN,25.8,226,68.9,603,5.3,46,299,20.8,146,"4,626",0.8,Chamber,28,50,48,1.05,151.8
ivy#5713,Silver 3,43.8,0.99,150.7,RO,13.5,186,79,1088,7.5,104,567,10.5,263,"8,112",0.7,Reyna,92,160,44.4,1,147.1
